ausg_beityp,antw_beityp,
11,11,11
11,222,222
11,214,214
222,222,222
222,211,222
211,221,221
222,222,222
222,222,222
214,211,214
11,212,212
222,223,223
11,212,212
11,214,
11,212,
222,222,
11,222,
222,20,
11,222,
222,211,
223,212,
222,222,
214,211,
223,222,
11,222,
11,224,
20,212,
211,222,
222,213,
214,211,
222,213,
222,222,
11,222,
222,222,
11,211,
212,211,
11,212,
222,224,
222,222,
11,,
211,212,
223,,
222,222,
11,222,
212,214,
222,222,
222,222,
223,212,
222,214,
11,222,
213,222,
222,222,
222,222,
212,224,
223,222,
222,222,
213,214,
11,222,
222,222,
214,222,
222,211,
11,222,
11,221,
222,222,
223,222,
222,223,
222,222,
12,12,
12,211,
12,211,
211,211,
211,211,
12,221,
211,,
211,211,
12,212,
12,,
212,212,
12,211,
,,
12,212,
211,,
212,,
212,211,
212,211,
212,222,
211,221,
212,22,
12,221,
211,21,
22,221,
221,222,
221,20,
222,223,
21,213,
12,20,
221,20,
20,20,
12,222,
20,221,
20,221,
12,224,
213,,
211,221,
12,221,
212,221,
211,222,
221,211,
221,221,
221,211,
211,222,
12,,
20,20,
224,222,
221,212,
211,221,
211,212,
,,
,20,
,211,
,,
,21,
11,11,
11,212,
11,212,
212,222,
212,212,
212,212,
222,212,
212,202,
212,212,
212,21,
11,211,
212,211,
222,22,
211,221,
212,212,
211,21,
21,213,
213,222,
212,21,
222,20,
213,221,
222,21,
221,212,
212,213,
11,221,
212,211,
221,20,
21,211,
212,224,
212,,
212,222,
20,221,
222,211,
224,222,
11,222,
22,,
222,212,
212,222,
212,21,
212,211,
212,211,
11,214,
213,212,
12,12,
12,211,
211,222,
222,212,
211,222,
211,222,
222,211,
211,214,
214,221,
222,221,
11,11,
11,214,
11,211,
12,12,
12,212,
12,212,
12,212,
12,212,
12,211,
11,11,
11,211,
211,223,
11,211,
11,214,
211,214,
211,211,
211,214,
214,211,
211,221,
221,211,
11,224,
11,214,
11,221,
214,211,
211,224,
10,10,
10,211,
211,214,
12,12,
12,224,
224,222,
222,213,
222,,
,20,
224,212,
212,213,
213,223,
224,212,
224,20,
12,12,
12,224,
224,211,
12,12,
12,214,
12,221,
12,221,
221,221,
221,212,
221,222,
12,224,
221,222,
12,12,
,,
,,
11,11,
11,224,
11,20,
12,12,
12,20,
20,211,
12,211,
211,211,
11,11,
11,20,
20,211,
11,11,
11,11,
11,11,
11,11,
11,201,
12,12,
12,212,
212,20,
12,212,
12,211,
11,11,
11,222,
11,224,
222,212,
11,211,
212,213,
222,211,
224,211,
211,223,
222,221,
223,212,
222,20,
223,222,
211,211,
12,12,
12,222,
222,211,
12,12,
11,11,
12,12,
12,222,
12,12,
12,222,
222,20,
20,223,
223,223,
222,222,
12,12,
11,11,
11,221,
,,
12,12,
12,12,
12,20,
